0|Kilimanjaro Tour|Join us on an unforgettable adventure to climb Mount Kilimanjaro, the highest peak in Africa! Our journey begins in the charming town of Moshi, located at the foot of the mountain. Over the course of several days, we will embark on an exhilarating trek through the stunning landscapes of the Kilimanjaro National Park, passing through lush rainforests, alpine meadows, and barren rocky terrain as we make our way to the summit.|English|50|Moshi|Marangu, Machame, Rongai, Shira|Lemosho|45|https://extremesummitteam.com/wp-content/uploads/2013/06/Kilimanjaro-603x482.jpg, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Mt._Kilimanjaro_12.2006.JPG/280px-Mt._Kilimanjaro_12.2006.JPG|lara|20
1|Nevesinje Tour|Nevesinje is a town located in the southeastern region of Bosnia and Herzegovina, situated in the Herzegovina-Neretva Canton. The town is surrounded by beautiful and scenic mountains, including the massive Velez mountain, which is one of the highest peaks in the country. In recent years, Nevesinje has become known as a center for sports, particularly winter sports. The town has hosted several regional and national sports events, including skiing and snowboarding competitions, and it is now preparing to host the upcoming Winter Olympics.|Serbian|20|Nevesinje Center|High School|Nevesinje Olympic Games|10|https://busticket4.me/db_assets/images/blog_cover/nevesinje-359-original.jpg, https://detektor.ba/wp-content/uploads/2022/06/Nevesinje-01-1280x720.jpg, https://i.ytimg.com/vi/EOjj3kRl5KY/maxresdefault.jpg|lara|9
2|Belgrade Tour|This journey promises a liftime experience. It will bring tears to your eyes when you see the magnificent places of this gorgeus city.|Serbian|100|Soko station|Belgrade City, WaterBelgrade|Singing Fountain|23|https://www.chasingthedonkey.com/wp-content/uploads/2018/02/BELGRADE2C20SERBIA_shutterstock_621933932.jpg, https://www.serbia.travel/files/1-Kalemegdan%20%2C%20Beograd%20%2C%20Leto%20%2C%20Pobednik%20%2C%20Shutterstock%20(2)-0-1280x768.jpg, https://belgradeatnight.com/wp-content/uploads/2015/01/Belgrade-Attractions-2.jpg|lara|8
3|Zimbabwe Tour|Easily the most important political site in Harare if not all of Zimbabwe, Heroes Acre is located about ten minutes from the city center. The main premise of the monument is fairly universal to colonized countries: to commemorate those who have sacrificed in the revolution. In this case, the war in question was the Rhodesian Bush War that lasted from 1964 to Zimbabwes independence in 1980. Additionally, those who are deemed by the current regime to have dedicated their lives to the country in a sufficient fashion are given a resting place. The monument was designed by North Korea in conjunction with Zimbabwean architects, with construction starting in 1981.|English|15|Harare Center|Lion and Cheetah Park, Raintree Venue,National Heroes Acre|Ngoma Kurira|8|https://medisf.traasgpu.com/ifis/0e2155f0ed1a300b-1024x576.jpg, https://static.ffx.io/images/$zoom_1%2C$multiply_0.3173%2C$ratio_1.777778%2C$width_1954%2C$x_0%2C$y_140/t_crop_custom/q_86%2Cf_auto/6628cdfb7d36e66e8849d494e475ddda38812369, https://www.victoriafalls-guide.net/images/hwange-elephants-3.jpg|z|4
4|Jahorina Tour|First we are going to see the Eternal Flame near the Sarajevo City Center. After that, we are going visit all the places where Winter Olympics were held in 1984.|Spanish|30|Sarajevo center|Bas carsija, Trebevic|Jahorina|9|https://poslovnenovine.ba/wp-content/uploads/2021/11/cijena-1.jpg,https://www.trcanje.rs/wp-content/uploads/2022/03/jahorina-trail-min.jpg , https://soleazur.rs/uploads/0000/1/2021/11/05/planina-jahorina.jpg|z|3
5|Golden Age Of Athens Tour|The 6 hours private tour in Athens with the Acropolis Museum is designed to meet the needs and requirements of even the most demanding visitor.|Greek|60|the Acropolis|the Parthenon, Erechtheum, Temple of Athens Nike, Plaka, Ancient Agora, Roman Agora, Hadrian’s library, Monastiraki|Temple of Hephaestus|5|https://lp-cms-production.imgix.net/2022-06/Greece_Athens_Caryatids.jpg?auto=format&q=75&w=1920, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c0/98/c5/caption.jpg?w=700&h=-1&s=1&cx=960&cy=638&chk=v1_dd51d42e9a888a6b338f, https://cdn.britannica.com/66/102266-050-FBDEFCA1/acropolis-city-state-Greece-Athens.jpg, https://assets.cntraveller.in/photos/62c825c93a81842dbe7c9ce5/master/pass/GettyImages-927468780.jpg|z|6
6|Bocke Tour|Starting from the last bus stop in Bocke, head east towards the Danube river. Follow the road as it curves along the riverbank, passing through the charming village of Ledinci. After approximately 3 kilometers, you will arrive at the Danube river.|Russian|15|Bocke last bus stop|Ledinci, Danube river|La casa de Petkovic|4|https://lh5.googleusercontent.com/p/AF1QipNBd79ZxnqCME0FnixQnpu6nZOgESRsItW5ZXLS=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipM5qfdBr262_hOuHnUMaq_oQtQPItj7g9x1aDlD=w203-h152-k-no|z|10
7|Bratislava Tour|We are going to vist Bratislava all day long.|Italian|20|Bratislava bus stop|Marjanka, Dunajska, Ivanka, Bratislavski zamak|The blue church|6|https://strawberrytours.com/wp-content/uploads/2019/12/Bratislava_3.jpg, https://www.civitatis.com/f/eslovaquia/bratislava/galeria/bratislava-plaza-mayor.jpg|z|26
8|South Africa Tour|Cape town is a very beautiful and popular place.|Portuguese|40|Roben|Boulders Beach, Cape Point, V and A Waterfront|Vo-Kaar|5|https://assets.cntraveller.in/photos/60ba00e371c02e549cd45123/16:9/w_1024%2Cc_limit/CX02KD-cape-town-alamy-credited3-1366x768.jpg, https://www.holidify.com/images/cmsuploads/compressed/362004423af47dd57bbb_20220722130358.jpeg|z|27
9|Kenia Tour|Kenia is a very interesting country to visit.|Russian|40|Nairobi National Park|Giraffe center|Karen Blixen museum|4|https://cdn.getyourguide.com/img/location/54b54fafc54f1.jpeg/68.jpg, https://img2.chinadaily.com.cn/images/202206/30/62bcfa2aa310fd2bec92de62.jpeg|z|28
10|aaaaaaaaaa||Korean|4|a|b, aa,v ,r, e, s|g|45||z|29
11|aaaaaa||French|0|s|f,r,w,g|l|4||z|30
12|Liman Tour|Divlji vepar|Japanese|22|Novi Sad Center|Limanski park, FTN, Promenada|Novo Naselje|20|https://gradskeinfo.rs/wp-content/uploads/2021/08/%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD-2-2.jpg|z|32
13|ca|ca|French|3|ca|ca, ca, ca|ca|3|ca|z|33
14|a|a|Russian|0|a|b|c|0|slika|z|34
15|tura|fghdshgvsud|Japanese|89|a|b, c, d, e|f|23|https://www.trolleytours.com/wp-content/uploads/2016/07/trolley-tours-of-key-west.jpg|z|35
16|dd|d|Korean|3|d||dd|0|dd|z|38
17|Vienna Tour|Vienna is a magnificent city with significant history.|Japanese|12|Vienna Center|Famous statue, National Museum, A castle|Bus Stop|12|https://www.travelandleisure.com/thmb/zFpjulihpXjpUV7gKNHzydvJANA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/vienna-austria-VIENNATG0621-ecb0ee926c2d49c4bce610db594f7405.jpg|z|39
18|Ljubljana Tour|Ljubljana is an interesting city.|Portuguese|90|Ljubljana bus stop|Ljubljana museum|Ljubljana park|10|https://www.b92.net/news/pics/2021/08/27/626058786128a8393cb53064500411_695x460.jpg|z|40
19|Egypt Tour|Pyramids are great!|Portuguese|88|Pyramid1|Pyramid2|Pyramid3|17|https://daily.jstor.org/wp-content/uploads/2014/09/pyramids.jpg|z|41
20|Nis Tour|Nis is the most interesting city in the world.|Serbian|99|Nis bus stop|Cele tower|Nis national museaum|0|https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Nisgradnocu.jpg/293px-Nisgradnocu.jpg|z|42
21|Foca Tour|The walk near the river Drina is a brilliant experience.|English|80|Foca Park|Bridge, Swimming Pool|Football Stadium|20|https://www.poslovnivodic.com/files/upload/htmleditor/foca%20drina.jpg|lara|43
22|Sabac Tour|Sabac is a wonderful city located in Serbia.|Serbian|333|Sabac bus station|Sabac bridge|Dino Park|21|https://www.381info.com/images/magazin/100/sabac.jpg|lara|44
23|Palic Tour|Advanture time is on. We will visit Palic zoo garden.|Serbian|100|Palic bus station|Zoo garden, Statue of Palic|Adventure Park|33|https://avanturazlatibor.com/wp-content/uploads/2013/05/Studio-Lazar-4151.jpg, https://feelserbia.com/wp-content/uploads/2019/03/palic.jpg, https://www.ivanamyway.com/wp-content/uploads/2021/01/IMG_20200707_204231.jpg|z|45
